Potbelly ID,Distance To DMA(In Miles),Distance To Sysco(In Miles)
23111,14.0426,10.2918
23112,14.7861,6.9185
23113,24.4134,16.5794
23115,42.1236,9.0115
23116,26.1970,12.5781
23117,38.0952,6.8354
23118,20.2305,5.3544
23119,4.4396,5.2390
23120,118.8927,33.1779
23122,15.4468,15.8685
23123,10.8273,1.0187
23124,18.0623,8.4635
23125,28.2238,3.6672
23126,17.2544,6.6158
23127,7.9783,1.3342
23128,23.0921,12.1229
23129,17.0577,11.0458
23130,9.4476,13.3043
23131,17.2441,19.9094
23132,4.2092,8.1093
23133,12.4154,2.3198
23134,8.0801,5.8949
23135,3.8111,8.0888
23136,15.2275,23.5428
23138,14.2252,18.2742
23139,50.5486,3.2402
23140,19.5463,23.7914
23141,12.7464,13.7794
23142,45.9603,50.2939
23143,80.2382,30.6207
23144,11.3652,14.9813
23145,17.8398,19.3794
23146,21.2422,4.1463
23147,28.9255,3.1183
23148,16.6953,17.0207
23149,16.5000,10.2220
23150,9.1481,12.5302
23151,13.3853,13.1031
23152,3.5943,1.1137
23153,27.4107,7.9163
23154,19.8645,23.0248
23170,2.7713,10.2870
23171,14.2885,18.4119
23172,89.8953,5.0363
23173,30.2360,28.5525
23174,2.1699,23.3970
23175,27.6826,9.3117
23176,12.9774,16.8168
23177,11.9631,13.5110
23178,103.7497,5.4990
23179,5.4117,2.4773
23180,24.7830,10.9792
23181,10.0097,7.3443
23182,8.0077,8.4855
23183,37.1102,5.3269
23184,11.6122,15.6239
23185,30.9325,1.6033
23043,12.1139,15.8838
23044,13.9683,18.0152
23045,14.1289,18.1304
23046,11.2999,15.1563
23047,9.9553,11.5260
23048,14.0669,18.0171
23050,11.9110,8.6919
23051,13.7972,17.7713
23052,14.2586,18.2304
23053,14.2227,18.2847
23054,28.6548,3.3112
23055,29.2128,14.8273
23056,23.9774,7.9280
23057,21.2229,20.4398
23058,7.3313,8.0721
23059,25.6639,18.5585
23060,14.2591,18.2946
23062,28.4388,3.4839
23063,27.9165,3.9739
23064,10.7119,14.3261
23066,14.7244,21.2850
23067,14.9510,14.9574
23068,19.7903,24.0439
23069,8.0017,24.3849
23070,13.8883,17.9185
23071,14.0876,18.1188
23072,14.5334,18.5688
23074,13.3738,14.1709
23075,74.7558,32.3071
23076,15.0540,9.2233
23077,7.3558,22.1239
23078,31.1403,6.0743
23079,14.1962,18.1218
23080,26.9307,30.7435
23081,17.5333,21.8461
23082,10.2241,6.9726
23083,14.4879,18.5527
23084,6.8403,5.0676
23085,131.5506,36.4032
23086,11.0453,21.0336
23087,13.3161,17.5085
23088,12.1610,23.8439
23089,13.9612,18.0249
23090,13.6559,10.9764
23091,15.3818,19.5935
23092,20.7895,19.2468
23093,29.0843,18.2949
23094,13.7127,17.7181
23095,32.4120,2.5211
23096,55.2648,17.8725
23097,13.3675,9.7811
23098,8.8889,12.1839
23099,5.5244,3.4488
23100,11.0531,15.0517
23101,16.3439,12.1952
23102,15.4843,10.0867
23121,28.0436,3.8622
23104,118.5204,32.8008
23105,35.0514,4.7188
23106,17.5698,13.4611
23192,53.9809,6.3321
23193,28.9719,2.9709
23194,11.2055,0.5033
23195,7.0655,12.4074
23196,35.7419,36.7862
23197,47.3031,15.6076
23199,106.8404,111.4471
23200,103.6105,108.3354
23201,4.7239,8.1118
23202,8.2210,7.0188
23203,10.8618,14.2129
23204,15.9038,6.7185
23205,8.4565,7.2858
23206,14.0269,17.3368
23207,34.0310,51.6749
23208,31.4785,35.7893
23209,7.2518,7.6584
23211,110.3504,115.3466
23213,33.9919,5.3086
23215,10.3186,12.9946
23217,23.3522,20.1390
23218,17.3559,15.2935
23219,19.7324,16.0965
23220,12.1478,5.7889
23222,13.9989,15.8223
23224,9.4284,13.0968
23225,12.4187,25.6582
23226,12.0587,26.1072
23227,20.2663,31.4641
23228,12.0706,25.8494
23229,77.3387,62.6935
23230,21.6086,3.0339
23231,18.0605,16.0415
23232,8.8104,20.4896
23233,19.2664,15.0283
23234,4.7947,3.1809
23235,4.9801,9.1193
