ID,GRIDCODE,ZONE
1,14,7b: 5 to 10 F
2,12,6b: -5 to 0 F
3,12,6b: -5 to 0 F
4,12,6b: -5 to 0 F
5,11,6a: -10 to -5 F
6,11,6a: -10 to -5 F
7,11,6a: -10 to -5 F
8,11,6a: -10 to -5 F
9,11,6a: -10 to -5 F
10,10,5b: -15 to -10 F
11,12,6b: -5 to 0 F
12,13,7a: 0 to 5 F
13,12,6b: -5 to 0 F
14,9,5a: -20 to -15 F
15,10,5b: -15 to -10 F
16,10,5b: -15 to -10 F
17,10,5b: -15 to -10 F
18,9,5a: -20 to -15 F
19,10,5b: -15 to -10 F
20,10,5b: -15 to -10 F
21,10,5b: -15 to -10 F
22,10,5b: -15 to -10 F
23,11,6a: -10 to -5 F
24,8,4b: -25 to -20 F
25,9,5a: -20 to -15 F
26,11,6a: -10 to -5 F
27,9,5a: -20 to -15 F
28,9,5a: -20 to -15 F
29,9,5a: -20 to -15 F
30,11,6a: -10 to -5 F
31,11,6a: -10 to -5 F
32,10,5b: -15 to -10 F
33,10,5b: -15 to -10 F
34,10,5b: -15 to -10 F
35,10,5b: -15 to -10 F
36,11,6a: -10 to -5 F
37,9,5a: -20 to -15 F
38,9,5a: -20 to -15 F
39,8,4b: -25 to -20 F
40,10,5b: -15 to -10 F
41,10,5b: -15 to -10 F
42,12,6b: -5 to 0 F
43,8,4b: -25 to -20 F
44,9,5a: -20 to -15 F
45,9,5a: -20 to -15 F
46,9,5a: -20 to -15 F
47,8,4b: -25 to -20 F
48,6,3b: -35 to -30 F
49,7,4a: -30 to -25 F
50,7,4a: -30 to -25 F
51,7,4a: -30 to -25 F
52,15,8a: 10 to 15 F
53,13,7a: 0 to 5 F
54,14,7b: 5 to 10 F
55,12,6b: -5 to 0 F
56,12,6b: -5 to 0 F
57,12,6b: -5 to 0 F
58,12,6b: -5 to 0 F
59,13,7a: 0 to 5 F
60,12,6b: -5 to 0 F
61,11,6a: -10 to -5 F
62,12,6b: -5 to 0 F
63,10,5b: -15 to -10 F
64,12,6b: -5 to 0 F
65,10,5b: -15 to -10 F
66,10,5b: -15 to -10 F
67,10,5b: -15 to -10 F
68,8,4b: -25 to -20 F
69,9,5a: -20 to -15 F
70,9,5a: -20 to -15 F
71,11,6a: -10 to -5 F
72,12,6b: -5 to 0 F
73,10,5b: -15 to -10 F
74,12,6b: -5 to 0 F
75,12,6b: -5 to 0 F
76,11,6a: -10 to -5 F
